,Title,Synopsis,Subject,ISBN
10,Everybody Has a Plan Until They Get Punched in the Face: 12 Things Boxing Teaches You About Life (Hardback),"[<p><em>'When your job is to stand in front of a very big man who wants to knock you unconscious, you learn what's important in life. In the ring there's nowhere to hide. I was never the biggest or the strongest but I made the most of what I had - I had heart and I had grit and I always put time into the mental game. Now it's time for you to come into the ring with me.'</em></p>, <p>Tony "" Bomber "" Bellew is one of the most unmissable boxers Britain has ever produced. Whether you loved him or hated him, you couldn't ignore him. His journey from chubby kid growing up in a rough part of Liverpool to world champion is a story of willpower, resilience and dedication. Now he's here to take you inside the ring and help you understand that whatever your goals, there's plenty you can learn there.</p>, <p>Over 12 rounds, Tony will show readers the world of boxing - the highs, the lows and the knockout blows. From what the boxing gym can teach us all about our strengths and weaknesses to how to hit the canvas and get back up again, this is the closest thing to having a world champion boxer in your corner.</p>]",sports-leisure,9781841884707
11,That Will Be England Gone: The Last Summer of Cricket (Paperback),"[<p>Neville Cardus once said there could be no summer in England without cricket.</p>, <p>The 2019 season was supposed to be the greatest summer of cricket ever seen in England. There was a World Cup, followed by five Test matches against Australia in the latest engagement of sport's oldest rivalry. It was also the last season of county cricket before the introduction in 2020 of a new tournament, The Hundred, designed to attract an audience of younger people who have no interest in the summer game.</p>, <p>In <i>That Will Be England Gone</i>, Michael Henderson revisits much-loved places to see how the game he grew up with has changed since the day in 1965 that he saw the great fast bowler Fred Trueman in his pomp. He watches schoolboys at Repton, club cricketers at Ramsbottom, and professionals on the festival grounds of Chesterfield, Cheltenham and Scarborough. The rolling English road takes him to Leicester for T20, to Lord's for the most ceremonial Test match, and to Taunton to watch an old cricketer leave the crease for the last time. He is enchanted at Trent Bridge, surprised at the Oval, and troubled at Old Trafford.</p>, <p>'Cricket,' Henderson says, 'has always been part of my other life.' There are memories of friendships with Ken Dodd, Harold Pinter and Simon Rattle, and the book is coloured throughout by a love of landscape, poetry, paintings and music. As well as reflections on his childhood hero, Farokh Engineer, and other great players, there are digressions on subjects as various as Lancashire comedians, Viennese melancholy and the films of Michael Powell.</p>, <p>Lyrical and elegiac, <i>That Will Be England Gone</i> is a deeply personal tribute to cricket, summer and England.</p>]",sports-leisure,9781472132871
12,Late Cuts: Musings on cricket (Hardback),"[<p><i>What follows, which explores some of the charms, the quirks and the peculiar allure of cricket from a variety of perspectives, is not intended as a memorial for long-lost sepia days. The game is still alive. Whether it turns out to be therapy for me or entertainment for you remains to be seen. To achieve both would be a bonus.</i><br/><br/>From Somerset stalwart to acclaimed writer and broadcaster, Vic Marks has lived a life steeped in cricket. In <i>Late Cuts</i> he takes us beyond the boundary rope, sharing the parts of the game fans don't get to see, from the food served at lunchtime (then - sweaty ham; now - quinoa, cranberry and feta salad) to the politics of the dressing room.<br/><br/>Whether revisiting his playing days to reveal the secrets of bowling a killer spell and what it feels like to be heckled by a riled-up crowd, or ruminating on the current state of the game (don't mention The Hundred!), this amusing and insightful collection will delight all cricket lovers.</p>]",sports-leisure,9781838953041
13,"The Wim Hof Method: Activate Your Potential, Transcend Your Limits (Hardback)","[<p><b><i>THE SUNDAY TIMES BESTSELLER</i><br/><br/>'This book will change your life' </b><i>BEN FOGLE</i><br/><br/><b>'Positive and persuasive' </b><i>ANT MIDDLETON<br/></i><br/><b><i>My hope is to inspire you to retake control of your body and life by unleashing the immense power of the mind.</i></b> <br/><br/><b>The 'Iceman' Wim Hof shares his remarkable life story and powerful method for supercharging your strength, health and happiness.</b><br/><br/>Wim Hof is widely celebrated for his astounding achievements, breaking world records withstanding extreme temperatures and running barefoot marathons over deserts and ice fields. Most of all, he's shown us that these feats are not superhuman - but that all of us have the ability to be stronger, healthier and happier than we've ever imagined. <br/><br/>In <i>The Wim Hof Method</i>, this trailblazer of human potential shares his simple three-pillar approach that <i>anyone</i> can use to improve health and performance - and see real results within just a few days. Refined over forty years and championed by scientists across the globe, you'll learn how to harness three key elements of <b>Cold</b>, <b>Breathing</b> and <b>Mindset</b> to master mind over matter and achieve the impossible.<br/><br/>'<b>Wim is a legend of the power ice has to heal and empower'</b><i> BEAR GRYLLS</i><br/><br/><b> 'Thor-like and potent...Wim has radioactive charisma' </b><i>RUSSELL BRAND</i></p>]",sports-leisure,9781846046292
14,Black Box Thinking: Marginal Gains and the Secrets of High Performance (Paperback),"[<p><em>We will look beneath the surface and examine the underlying processes through which humans learn, innovate and become more creative: whether in business, politics or in our own lives. And we will find that in all these instances the explanation for success hinges, in powerful and often counter-intuitive ways, on how we react to failure.</em></p>, <p>What links the Mercedes Formula One team with Google?</p>, <p>What links Team Sky and the aviation industry?</p>, <p>What connects James Dyson and David Beckham?</p>, <p>They are all Black Box Thinkers.</p>, <p><em>Black Box Thinking</em> is a new approach to high performance, a means of finding an edge in a complex and fast-changing world. It is not just about sport, but has powerful implications for business and politics, as well as for parents and students – for all of us.</p>, <p>Drawing on a dizzying array of case studies and real-world examples, together with cutting-edge research on marginal gains, creativity and grit, Matthew Syed tells the inside story of how success really happens - and how we cannot grow unless we are prepared to fail, even catastrophically and learn from our mistakes.</p>, <p>From the Bestselling Author of <a href=""https://www.waterstones.com/book/bounce/matthew-syed/9780007350544""><em>Bounce</em></a> comes a book about how human beings progress, develop and make ground-breaking strides all through accepting and learning from moments of crisis.</p>, <p></p>]",sports-leisure,9781473613805
15,One Long and Beautiful Summer: A Short Elegy For Red-Ball Cricket (Paperback),"[<p>One of Duncan Hamilton's favourite writers on cricket, Edmund Blunden, wrote how he felt going to watch a game: 'You arrive early, earlier even than you meant . . . and you feel a little guilty at the thought of the day you propose to give up to sheer luxury'.</p>, <p>Following Neville Cardus's assertion that 'there can be no summer in this land without cricket', Hamilton plotted the games he would see in 2019 and write down reflectively on some of the cricket that blessed his own sight. It would be captured in the context of the coming season in case subsequent summers and the imminent arrival of The Hundred made that impossible. He would write in the belief that after this season the game might never be quite the same again.</p>, <p>He visits Welbeck Colliery Cricket Club to see Nottinghamshire play Hampshire at the tiny ground of Sookholme, gifted to the club by a local philanthropist who takes money on the gate; his village team at Menston in Yorkshire; the county ground at Hove; watches Ben Stokes's heroics at Headingley, marvels at Jofra Archer's gift of speed in a Second XI fixture for Sussex against Gloucestershire in front of 74 people and three well-behaved dogs; and realises when he reaches the last afternoon of the final county match of the season at Taunton, 'How blessed I am to have been born here. How I never want to live anywhere else. How much I love cricket.'</p>, <p><em>One Long and Beautiful Summer</em> forms a companion volume to Hamilton's 2009 classic, <a href=""/book/a-last-english-summer/duncan-hamilton/9780857381484""><em>A Last English Summer</em></a>. It is sports writing at its most accomplished and evocative, confirming his reputation as the finest contemporary chronicler of the game.</p>]",sports-leisure,9781529408393
16,The Art of Resilience: Strategies for an Unbreakable Mind and Body (Paperback),"[<p>Bestselling author and award-winning adventurer Ross Edgley has been studying the art of resilience for years, applying all he has learned to become the first person in history to swim around Great Britain, breaking multiple world records. Now Ross focuses on mental strength, stoicism and the training needed to create an unbreakable body.</p>, <p>Ross Edgley famously ran a marathon pulling a 1.4-tonne car and climbed a rope the height of Everest (8,848m), after living with Yamabushi warrior monks in Japan and partaking in Shamanic pain rituals with fire ants in the Amazon jungle. On his epic 1,780-mile journey around Great Britain, which lasted 157 days, Ross swam through giant jellyfish, arctic storms, 'haunted' whirlpools and polluted shipping lanes, going so hard, and so fast, his tongue fell apart.</p>, <p>Ross's previous book, <a href=""/book/the-worlds-fittest-book/ross-edgley/9780751572544""><em>The World's Fittest Book</em></a>, was a Sunday Times No.1 bestseller and explored the science of physical fitness. Now, in <em>The Art of Resilience</em>, Ross uses his swim experience and other amazing endurance feats, where he managed to overcome seemingly insurmountable pain, hardship and adversity, to study the performance of extreme athletes, military and fitness specialists and psychologists to uncover the secrets of mental fitness and explore the concept of resilience, persistence, valour and a disciplined mindset in overcoming adversity.</p>, <p>This ground-breaking book represents a paradigm shift in what we thought the human body and mind were capable of and will give you a blueprint to become a tougher, more resilient and ultimately better human - whatever the challenge you face.</p>]",sports-leisure,9780008356958
17,Simply the Best (Paperback),"[<p>David 'Bumble' Lloyd is one of cricket's great characters - hilarious, informative and insightful, and filled with boundless enthusiasm for the game. Now, in <em>Simply the Best</em>, he tells the stories of the most important, influential, talented and entertaining characters he has come across in sixty years in the game.</p>, <p>Following on from the bestselling successes of <i>Last in the Tin Bath</i> and <i>Around the World in 80 Pints</i>, in his new book Bumble looks back at the cricketers who have had the greatest impact on him throughout his career. From the gnarly veterans he first played against as a teenager in the Lancashire League, through the old pros he met on the county circuit while at Lancashire on to a revealing insight into life alongside Mike Atherton, Ian Botham, Nasser Hussain and Shane Warne in the commentary box, this book reveals Bumble at his best: telling great stories about his favourite people.</p>, <p>Along the way, the reader not only learns who have been the funniest or most dangerous players to be around, but also gets an insight into what makes a team gel and players to perform at their very peak. It's the perfect gift for any cricket fan who loves the game and needs something to keep them amused as the autumn draws in and winter takes over.</p>]",sports-leisure,9781471190049
18,The Quality of Madness: A Life of Marcelo Bielsa (Paperback),"[<p>Marcelo Bielsa is one of football's greatest eccentrics and greatest enigmas. This will be the first English biography of one of football's most contradictory characters.</p>, <p>He has coached some of the greatest names in world football - Gabriel Batistuta, Carlos Tevez, Javier Mascherano, Juan Sebastian Veron and Ander Herrera. He has been cited as a mentor by Pep Guardiola, Mauricio Pochettino and Diego Simeone.</p>, <p>Yet Marcelo Bielsa remains one of the great enigmas of world football - a fabulously innovative and obsessive coach, who has transformed Leeds United, Marseille and Athletic Bilbao. He also lasted two days at Lazio and led Argentina to their greatest footballing disaster.</p>, <p>Featuring interviews from across South America, Europe and Yorkshire, <i>The Quality of Madness</i> is a comprehensive and compelling biography, tracing Bielsa's story from growing up as a member of one of Argentina's most remarkable families to his revival of Leeds.</p>, <p>Bielsa has long been known as 'El Loco' - the Madman - and yet as Tim Rich's revelatory study reveals, there is mercurial method and audacious logic to the madness.</p>]",sports-leisure,9781529405019
19,A Year of Living Simply: The joys of a life less complicated (Paperback),"[<p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>, <p></p>]",sports-leisure,9781783253432
20,Loose Head: Confessions of an (un)professional rugby player (Paperback),"[<p>The truth about being a rugby player from the horsey's mouth.<br/><br/>This book is not just about how a psychiatrist called Humphrey helped me get back on my horse and clippity-clop all the way to the World Cup semi-final in Japan. <br/><br/>It's the story of how a fat kid who had to live up to the nickname Psycho grew up to play and party for over a decade with rugby's greatest pros and live weird and wonderful moments both in and out of the scrum. <br/><br/>That's why I'm letting you read my diary on my weirdest days. You never know what you're going to get with me. <br/><br/>From being locked in a police cell to singing Adele on Jonathan Ross (I'll let you decide which is worse), being kissed by a murderer on the number 51 bus to drug tests where clipboard-wielding men hover inches away from my naked genitalia, melting opponents in rucks, winning tackles, and generally losing blood, sweat and ears in the name of the great sport of rugby. <br/><br/>This is how (not) to be a rugby player.</p>]",sports-leisure,9781529107531
21,Inverting the Pyramid: The History of Football Tactics (Paperback),"[<p>In <i>Inverting the Pyramid</i>, Jonathan Wilson pulls apart the finer details of the world's game, tracing the global history of tactics, from modern pioneers right back to the beginning when chaos reigned. Along the way, he looks at the lives of great players and thinkers who shaped the sport and probes why the English, in particular, have 'proved themselves unwilling to grapple with the abstract'.</p>, <p>This tenth-anniversary edition of a footballing modern classic has been fully updated to include the development of <i>gegenpressing</i> as pioneered by German coaches such as Ralf Rangnick and Jurgen Klopp, and its subsequent influence on the world game. It also analyses the tactical evolution of Pep Guardiola, the increasing alternatives to possession-based football and the changing role of the goalkeeper, as well as investigating the trend of full-backs developing into midfielders and the consequent return of three at the back.</p>]",sports-leisure,9781474609296
22,"The Gospel of the Eels: A Father, a Son and the World's Most Enigmatic Fish (Paperback)","[<p><em>I can't recall us ever talking about anything other than eels and how to best catch them, down there by the stream. Actually, I can't remember us speaking at all. Maybe because we never did.</em></p>, <p>The European eel, Anguilla anguilla, is one of the strangest creatures nature ever created. Remarkably little is known about the eel, even today. What we do know is that it's born as a tiny willow-leaf shaped larva in the Sargasso Sea, travels on the ocean currents toward the coasts of Europe - a journey of about four thousand miles that takes at least two years. Upon arrival, it transforms itself into a glass eel and then into a yellow eel before it wanders up into fresh water. It lives a solitary life, hiding from both light and science, for ten, twenty, fifty years, before migrating back to the sea in the autumn, morphing into a silver eel and swimming all the way back to the Sargasso Sea, where it breeds and dies.</p>, <p>And yet ... There is still so much we don't know about eels. No human has ever seen eels reproduce; no one can give a complete account of the eel's metamorphoses or say why they are born and die in the Sargasso Sea; no human has even seen a mature eel in the Sargasso Sea. Ever. And now the eel is disappearing, and we don't know exactly why.</p>, <p>What we do know is that eels and their mysterious lives captivate us.<br/><br/>This is the basis for <em>The Gospel of the Eels</em>, Patrik Svensson's quite unique natural science memoir; his ongoing fascination with this secretive fish, but also the equally perplexing and often murky relationship he shared with his father, whose only passion in life was fishing for this obscure creature.</p>, <p>Through the exploration of eels in literature (Gunter Grass and Graham Swift feature, amongst others) and the history of science (we learn about Aristotle's and Sigmund Freud's complicated relationships with eels) as well as modern marine biology (Rachel Carson and others) we get to know this peculiar animal. In this exploration, we also learn about the human condition, life and death, through natural science and nature writing at its very best.</p>, <p>As Patrik Svensson concludes: 'by writing about eels, I have in some ways found my way home again.'</p>]",sports-leisure,9781529030709
23,My Life and Rugby: The Autobiography (Paperback),"[<p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards"">Telegraph Sports Book Award</a> Rugby Book of the Year 2020</strong></p>, <p>Brilliant, honest, combative - Eddie Jones is a gigantic yet enigmatic figure in world rugby and a true legend of the game. In <i>My Life and Rugby</i> he tells his story for the first time, including the full inside story of England's 2019 World Cup campaign.</p>, <p>Eddie Jones is one of the most experienced and decorated coaches in world rugby. His career has spanned four World Cups: from losing to England in the 100th minute in 2003, working with South Africa when they won in 2007, and causing the greatest upset in the history of the game in 2015 when he masterminded the Japanese defeat of South Africa.</p>, <p>Since taking over as head coach of England in 2015, Eddie Jones has orchestrated the complete revival of the national team. He has won the Six Nations Championship back-to-back, including England's first Grand Slam in a generation, their first-ever whitewash of Australia in their own back yard, as well as taking them on their longest-ever winning streak, matching the world record held by the All Blacks.</p>, <p>In his explosive autobiography, Jones shows how his fiercely competitive attitude, his love of coaching and his philosophy of the game were formed while growing up in a tough working-class suburb of Sydney as a small half-Japanese kid, playing schoolboy rugby alongside the legendary Ella brothers.</p>, <p>Learning from the extreme highs and lows of his own playing career - including the numerous successes playing for Randwick and New South Wales but also the painful disappointment of never playing for Australia - he shows what it takes to be the best in the world and how everything he has learned about the game, both on and off the pitch, has gone into plotting England's route to the top of world rugby.</p>, <p>Written with Don McRae, twice winner of the William Hill Sports Book of the Year Award and three times Sports Feature Writer of the Year,<i> My Life and Rugby</i> is the story of one of the most compelling and singular figures in rugby. Told with unflinching honesty, this is the ultimate rugby book for all fans of the sport.</p>]",sports-leisure,9781509850730
24,Football's Strangest Matches: Extraordinary but true stories from over a century of football - Strangest (Hardback),"[<p>'It's a funny old game.' The world's favourite sport has certainly given us its fair share of strange moments, and this absorbing collection gathers together the best of them, from more than a century of the beautiful game. From Blackburn Rovers' one-man team to Wilfred Minter's seven-goal haul in which he still ended up on the losing side, here are goals and gaffes galore drawn from all levels of the footballing world, whether high-profile internationals or the lowest tiers of domestic football. The stories in this book are bizarre, fascinating, hilarious, and, most importantly, true.</p>, <p>This brand new edition, redesigned in splendid hardback for 2018, is the perfect gift for the soccer obsessive in your life.</p>, <p>Word count: 45,000 words</p>]",sports-leisure,9781911622031
25,Wisden Cricketers' Almanack 2021 (Hardback),"[<p><strong>Standard hardback edition</strong></p>, <p>The 158th edition of the most famous sports book in the world - published every year since 1864 - contains some of the world's finest sports writing, and reflects on an unprecedented year dominated by the Covid-19 pandemic.</p>, <p>Writers include Lawrence Booth, Sir Garfield Sobers, Ebony Rainford-Brent, Gideon Haigh, Andy Zaltzman, Tom Holland, Duncan Hamilton, Robert Winder, Matthew Engel, Scyld Berry, Derek Pringle, Jack Leach and James Anderson.</p>, <p>As usual, Wisden includes the eagerly awaited Notes by the Editor, the Cricketers of the Year awards, and the famous obituaries. And, as ever, there are reports and scorecards for every Test, together with forthright opinion, compelling features and comprehensive records.</p>]",sports-leisure,9781472975478
26,Desktop Boxing: Knock Out Your Stress!,[],sports-leisure,9780762460809
27,"Wild Swimming: 4: 300 Hidden Dips in the Rivers, Lakes and Waterfalls of Britain (Paperback)",[],sports-leisure,9780957157330
28,How to Be a Footballer (Paperback),"[<p><strong>Shortlisted for <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards""><i>The Telegraph </i>Sports Book Awards 2019</a></strong></p>, <p>You become a footballer because you love football. And then you are a footballer, and you're suddenly in the strangest, most baffling world of all.</p>, <p>A world where one team-mate comes to training in a bright red suit with matching top-hat, cane and glasses, without any actual glass in them, and another has so many sports cars they forget they have left a Porsche at the train station. Even when their surname is incorporated in the registration plate.</p>, <p>So walk with me into the dressing-room, to find out which players refuse to touch a football before a game, to discover why a load of millionaires never have any shower-gel, and to hear what Cristiano Ronaldo says when he looks at himself in the mirror.</p>, <p>We will go into post-match interviews, make fools of ourselves on social media and try to ensure that we never again pay £250 for a haircut that should have cost a tenner.</p>, <p>We'll be coached and cajoled by Harry Redknapp, upset Rafa Benitez and be soothed by the sound of an accordion played by Sven-Goran Eriksson's assistant Tord Grip. There will be some very bad music and some very bad decisions. I am Peter Crouch. This is<em> How To Be A Footballer</em>. Shall we?</p>]",sports-leisure,9781785039782
29,"This is Your Everest: The Lions, The Springboks and the Epic Tour of 1997 (Hardback)",[],sports-leisure,9781913538125
30,"Mini Finger Football (UK Edition, Mega Mini Kit)",[],sports-leisure,9780762444601
