,Title,Synopsis,Subject,ISBN
10,The Master: The Brilliant Career of Roger Federer (Hardback),"[<p>Widely regarded as one of the greatest ever sportspeople, Roger Federer is a beloved as a phenomenon, a symbol of enduring greatness and yet is intensely private. But his path from temperamental, bleach-blond teenager with dubious style sense to one of the greatest, most self-possessed and elegant of competitors has been a long-running act of will, not destiny.</p>]",sports-leisure,9781529342055
11,Under Pressure (Paperback),"[<p>Imagine a world without natural light, where you can barely stand up straight for fear of knocking your head, where you have no idea of where in the world you are or what time of day it is, where you sleep in a coffin-sized bunk and sometimes eat a full roast for breakfast.</p>, <p>Now imagine sharing that world with 140 other sweaty bodies, crammed into a 430ft x 33ft steel tube, 300ft underwater, for up to 90 days at a time, with no possibility of escape. And to top it off, a sizeable chunk of your living space is taken up by the most formidably destructive nuclear weapons history has ever known. This is the world of the submariner. This is life under pressure.</p>, <p>As a restless and adventurous 18-year-old, Richard Humphreys joined the submarine service in 1985 and went on to serve aboard the nuclear deterrent for five years at the end of the Cold War. Nothing could have prepared him for life beneath the waves. Aside from the claustrophobia and disorientation, there were the prolonged periods of boredom, the constant dread of discovery by the Soviets, and the smorgasbord of rank odours that only a group of poorly-washed and flatulent submariners can unleash.</p>, <p>But even in this most pressurised of environments, the consolations were unique: where else could you sit peacefully for hours listening to whale song, or...</p>, <p>Based on first-hand experience, <em>Under Pressure</em> is the candid, visceral and incredibly entertaining account of what it's like to live, work, sleep, eat - and stay sane - in one of the most extreme man-made environments on the planet.</p>]",sports-leisure,9780008313074
12,Why We Kneel How We Rise (Hardback),"[<p>'To say I was surprised at the volume of positive feedback I received from around the world after my comments on Sky Sports is an understatement. I came to realise I couldn't just stop there; I had to take it forward - hence the book, as I believe education is the way forward.' - Michael Holding</p>, <p>Rarely can a rain delay in a cricket match have led to anything like the moment when Holding spoke out in the wake of the #BlackLivesMatter protests about the racism he has suffered and has seen all around him throughout his life. But as he spoke, he sought not only to educate but to propose a way forward that inspired so many. Within minutes, he was receiving calls from famous sports stars from around the world offering to help him to spread the message further.</p>, <p>Now, in <em>Why We Kneel, How We Rise</em>, Holding shares his story together with those of some of the most iconic athletes in the world, including Usain Bolt, Adam Goodes, Thierry Henry, Michael Johnson, Ibtihaj Muhammad, Makhaya Ntini, Naomi Osaka and Hope Powell. He delivers a powerful and inspiring message of hope for the future and a vision for change, while providing the background and history to an issue that has dogged the world for many centuries.</p>, <p>Through the prism of sport and conversations with its legends, the book explains how racism dehumanises people; how it works to achieve that end; how it has been ignored by history and historians; and what it is like to be treated differently just because of the colour of your skin.</p>]",sports-leisure,9781398503236
13,My Life in Red and White (Paperback),"[<p>For the very first time, world-renowned and revolutionary football manager Arsène Wenger tells his own story. He opens up about his life, sharing principles for success on and off the field with lessons on leadership, and vivid tales of his 22 years managing Arsenal to unprecedented success.</p>, <p>There, Wenger won multiple Premier League championships and a record number of FA C ups, and his teams included the Invincibles of 2003-2004 and a record-breaking undefeated 49-match run. He popularised an attacking approach and belief that the game should be entertaining but he also changed the attitudes of British football fans towards players' diet, fitness and coaching methods - and towards foreign managers too.</p>, <p>In <em>My Life in Red and White</em>, Wenger charts his extraordinary career, including his rise in France and Japan where he managed Nancy, Monaco and Nagoya Grampus Eight (clubs that also play in red-and-white, like Arsenal!) to his 22 years at the helm of an internationally renowned club from 1996 onwards. He describes the unrest that led to his resignation in 2018, and his current role as Chief of Global Football Development for FIFA.</p>, <p>He offers studious reflections on the game and his groundbreaking approach to motivation, mindset, fitness and football that was often beautiful to watch. This book is a must-read for not only Arsenal fans but football fans everywhere, for management and business leaders, and anyone seeking the tools for success in work and life. It will illuminate the mystique surrounding one of the most revered and successful manager's life story, strategy and vision in the world's most popular sport.</p>]",sports-leisure,9781474618267
14,The Fast 800 Easy: Quick and simple recipes to make your 800-calorie days even easier (Paperback),"[<p>130 brand-new recipes to cook up at home, any day of the week...</p>, <p>Following her bestselling<i> Fast 800 Recipe Book, </i>Dr Clare Bailey returns with a fabulous new cookbook, featuring super-simple recipes to enable you to eat well with minimum prep time on your fasting days.</p>, <p>All the dishes in this book can be made with less than 10 ingredients and are based on the low-carb Mediterranean style of eating now proven to revolutionalise your health. There are numerous vegetarian options, plus simple ways to expand meals for non-fast days or when you are eating with friends or family.</p>, <p>With everything from smoothies and wraps to winter stews and curries, this book will help you rustle up delicious, nutritious meals in minutes - food that tastes so good you won't feel the low-calorie count.</p>, <p>INCLUDES 8 WEEKS OF CALORIE-COUNTED MEAL PLANS</p>]",sports-leisure,9781780724508
15,Behind the Mask: My Autobiography (Paperback),"[<p><strong>Overall Winner of the <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards"">Telegraph Sports Book Award</a> 2020</strong></p>, <p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards"">Telegraph Sports Book Award</a> Autobiography of the Year 2020</strong></p>, <p>The extraordinary story of the rise and fall and rise again of Tyson Fury...</p>, <p>THE GYPSY KING.</p>, <p>A Manchester lad from Irish Traveller stock, born three months premature and weighing just a pound at birth, Tyson (named after his father's boxing hero) grew up to become one of the most unlikely heavyweight champions in history. This 'dream come true' soon turned to nightmare, however, as alcohol and cocaine abuse took hold and Tyson was stripped of his titles. What followed was the darkest moment of his life - detailed in this book for the first time - in which he came within seconds of ending everything.</p>, <p>THE PEOPLE'S CHAMPION.</p>, <p>Like all the greatest stories, though, there is redemption and Tyson defies all the odds and literally drags himself to his feet. 10 million people around the globe watched Fury fight Wilder in the biggest fight of the boxing calendar. Speaking candidly about his struggles with mental health, this is Tyson Fury as you have never seen him before.</p>, <p>A BRITISH ICON.</p>, <p><em>Behind the Mask</em> is an unflinching autobiography from the greatest boxer of our time and a man who has demonstrated strength of a very different kind by conquering his demons.</p>]",sports-leisure,9781787465060
16,Klopp: My Liverpool Romance (Paperback),[],sports-leisure,9780571364978
17,Black Box Thinking: Marginal Gains and the Secrets of High Performance (Paperback),"[<p><em>We will look beneath the surface and examine the underlying processes through which humans learn, innovate and become more creative: whether in business, politics or in our own lives. And we will find that in all these instances the explanation for success hinges, in powerful and often counter-intuitive ways, on how we react to failure.</em></p>, <p>What links the Mercedes Formula One team with Google?</p>, <p>What links Team Sky and the aviation industry?</p>, <p>What connects James Dyson and David Beckham?</p>, <p>They are all Black Box Thinkers.</p>, <p><em>Black Box Thinking</em> is a new approach to high performance, a means of finding an edge in a complex and fast-changing world. It is not just about sport, but has powerful implications for business and politics, as well as for parents and students – for all of us.</p>, <p>Drawing on a dizzying array of case studies and real-world examples, together with cutting-edge research on marginal gains, creativity and grit, Matthew Syed tells the inside story of how success really happens - and how we cannot grow unless we are prepared to fail, even catastrophically and learn from our mistakes.</p>, <p>From the Bestselling Author of <a href=""https://www.waterstones.com/book/bounce/matthew-syed/9780007350544""><em>Bounce</em></a> comes a book about how human beings progress, develop and make ground-breaking strides all through accepting and learning from moments of crisis.</p>, <p></p>]",sports-leisure,9781473613805
18,Barca: The inside story of the world's greatest football club (Hardback),"[<p><em>I began my research thinking I was going to be explaining Barca's rise to greatness, and I have, but I've also ended up charting the decline and fall.</em></p>, <p>From the bestselling co-author of <a href=""/book/soccernomics/simon-kuper/stefan-szymanski/9780008236649""><em>Soccernomics</em></a> comes the story of how FC Barcelona became the most successful football club in the world - and how that envied position now hangs in the balance.</p>, <p>Barca is not just the world's most popular sports club, it is simply one of the most influential organisations on the planet. With almost 250 million followers on social media and 4 million visitors to its Camp Nou stadium each year, there's little wonder its motto is 'More than a club'. But it was not always so. In the past three decades, Barcelona has transformed from regional team to global powerhouse, becoming a model of sporting excellence and a consistent winner of silverware.</p>, <p>Simon Kuper unravels exactly how these transformations took place. He outlines the organisational structure behind the club's business decisions, and details the work of its coaches, medics, data analysts and nutritionists who have revolutionised the sporting world. And, of course, he studies the towering influence of the club's two greatest legends, Johan Cruyff and Lionel Messi.</p>, <p>Like many leading global businesses, FC Barcelona closely guards its secrets, granting few outsiders a view behind the scenes. But, after decades of writing about the sport and the club, Kuper was given unprecedented access to the inner sanctum and to the people who strive daily to keep Barcelona at the top.</p>, <p>Erudite, personal, and capturing all the latest successes and upheavals, his portrait of this incredible institution goes beyond football to understand Barca as a unique social, cultural, and political phenomenon.</p>]",sports-leisure,9781780724744
19,Vuelta Skelter: Riding the Remarkable 1941 Tour of Spain (Hardback),"[<p>Tim Moore completes his epic (and ill-advised) trilogy of cycling's Grand Tours.</p>, <p>Julian Berrendero's victory in the 1941 Vuelta a Espana was an extraordinary exercise in sporting redemption: the Spanish cyclist had just spent 18 months in Franco's concentration camps, punishment for expressing Republican sympathies during the civil war.</p>, <p>Seventy nine years later, perennially over-ambitious cyclo-adventurer Tim Moore developed a fascination with Berrendero's story, and having borrowed an old road bike with the great man's name plastered all over it, set off to retrace the 4,409km route of his 1941 triumph - in the midst of a global pandemic.</p>, <p>What follows is a tale of brutal heat and lonely roads, of glory, humiliation, and then a bit more humiliation. Along the way Tim recounts the civil war's still-vivid tragedies, and finds the gregarious but impressively responsible locals torn between welcoming their nation's only foreign visitor, and bundling him and his filthy bike into a vat of antiviral gel.</p>]",sports-leisure,9781787333055
20,The Farther Corner: A Sentimental Return to North-East Football (Paperback),[],sports-leisure,9781471180910
21,"Mini Finger Football (UK Edition, Mega Mini Kit)",[],sports-leisure,9780762444601
22,"The Wim Hof Method: Activate Your Potential, Transcend Your Limits (Hardback)","[<p><b><i>THE SUNDAY TIMES BESTSELLER</i><br/><br/>'This book will change your life' </b><i>BEN FOGLE</i><br/><br/><b>'Positive and persuasive' </b><i>ANT MIDDLETON<br/></i><br/><b><i>My hope is to inspire you to retake control of your body and life by unleashing the immense power of the mind.</i></b> <br/><br/><b>The 'Iceman' Wim Hof shares his remarkable life story and powerful method for supercharging your strength, health and happiness.</b><br/><br/>Wim Hof is widely celebrated for his astounding achievements, breaking world records withstanding extreme temperatures and running barefoot marathons over deserts and ice fields. Most of all, he's shown us that these feats are not superhuman - but that all of us have the ability to be stronger, healthier and happier than we've ever imagined. <br/><br/>In <i>The Wim Hof Method</i>, this trailblazer of human potential shares his simple three-pillar approach that <i>anyone</i> can use to improve health and performance - and see real results within just a few days. Refined over forty years and championed by scientists across the globe, you'll learn how to harness three key elements of <b>Cold</b>, <b>Breathing</b> and <b>Mindset</b> to master mind over matter and achieve the impossible.<br/><br/>'<b>Wim is a legend of the power ice has to heal and empower'</b><i> BEAR GRYLLS</i><br/><br/><b> 'Thor-like and potent...Wim has radioactive charisma' </b><i>RUSSELL BRAND</i></p>]",sports-leisure,9781846046292
23,It's Always Summer Somewhere: A Matter of Life and Cricket (Hardback),"[<p>Felix White, for reasons often beyond him, has always been deeply in love with cricket. His passion for the game is at the fore on the BBC 's number one cricket podcast and 5Live show, Tailenders, which he co-presents with Greg James and Jimmy Anderson. <i>It's Always Summer Somewhere</i> is his funny, heartbreaking and endlessly engaging love letter to the game.</p>, <p>Felix takes us through his life growing up in South West London and describes how his story is forever punctuated and given meaning by cricket. Through his own exploits as a slow left arm spinner of 'lovely loopy stuff', to the tragic illness of his mother, life with The Maccabees and his cricket redemption, Felix touches on both the comedic and the tragic in equal measure. Throughout, there's the ever-present roller coaster of following the England cricket team. The exploits of Tufnell (another bowler of 'lovely loopy stuff'), Atherton, Hussain et al, are given extra import through the eyes of a cricket-obsessed youth. Felix meets them at each signposted moment to find out what was really behind those moments that gave cricket fans everywhere sporting memories that would last forever, sending the book into an exploration of grief, transgenerational displacement and how the people we've known and things we've loved culminate and take expression in our lives.<i><br/></i></p>, <p><em>It's Always Summer Somewhere </em>is an incredibly honest detail of a life lived with cricket. It offers a sense of genuine empathy and understanding not just with cricket fans, but sports and music fans across the world, in articulating our reasons for pouring so much meaning into something that we simply cannot control. Culminating in the heart-stopping World Cup Final in 2019, the book finally answers that question fans have so often asked... what is it about this game?</p>]",sports-leisure,9781788402422
24,What I Talk About When I Talk About Running (Paperback),"[<p>Haruki Murakami is one of the world’s favourite novelists and responsible for wonderful fiction like <em>The Wind Up Bird Chronicle</em> and <em>Kafka on the Shore</em>, but here he chronicles his obsession for running and offers his fans a short but wonderful journey into a mind which shapes such beautiful books.</p>, <p>His first forays into triathlon and his initial fears of the open water swim will resonate with many and his admiration of those who seem naturally designed to run is also a strong theme. A fabulous little book which should be on any runner’s to-read list.</p>]",sports-leisure,9780099526155
25,Desktop Boxing: Knock Out Your Stress!,[],sports-leisure,9780762460809
26,What a Flanker (Paperback),"[<p><em>I'd like to be remembered as a player who showed that you can be incredibly professional but also a lot of fun - a bit of a joker in the changing room, but the ultimate competitor on the pitch. That should have been the subtitle of this book, really...</em></p>, <p>One of rugby's most ferocious flankers and biggest characters, James Haskell has had an extraordinary, global experience of the game, having played for the Wasps, Northampton and England, and in New Zealand, France and Japan. After seventeen years and with 77 international caps under his sizeable belt, he has a shitload to say about rugby life - from pitch to pub and everywhere in between.<br/> <br/>In <em>What A Flanker</em>, Haskell sheds fresh light on the dynamics and the day-to-day of the game. Whether he's recalling the most brutal team socials; dispelling the myths surrounding New Zealand's dominance; introducing his Japanese teammates to manscaping or calling out play-acting in the modern game, no subject is off limits.<br/> <br/>Side-splittingly funny and ruthlessly honest, <em>What A Flanker</em> delves into the touring, drinking, training, eating and sometimes unconscionable antics of the professional rugby player. It's an unforgettable read, even if there are some stories you'd rather forget...</p>]",sports-leisure,9780008403706
27,Messi (Ultimate Football Heroes - the No. 1 football series): Collect them all! - Ultimate Football Heroes (Paperback),[],sports-leisure,9781786064035
28,H is for Hawk (Paperback),"[<p><strong>Winner of the Costa Book of the Year</strong></p>, <p><strong>Winner of the Samuel Johnson Prize for Non-Fiction</strong></p>, <p>'I can't remember the last time a book made me feel so many different things in such quick succession.' - Rachel Cooke, <em>The Guardian </em></p>, <p>As a child, Helen Macdonald was determined to become a falconer, learning the arcane terminology and reading all the classic books. Years later, when her father died and she was struck deeply by grief, she became obsessed with the idea of training her own goshawk.</p>, <p>She bought Mabel for £800 on a Scottish quayside and took her home to Cambridge, ready to embark on the long, strange business of trying to train this wildest of animals.</p>, <p><em>H is for Hawk</em> is an unflinchingly honest account of Macdonald's struggle with grief during the difficult process of the hawk's taming and her own untaming.</p>, <p>This is a book about memory, nature and nation, and how it might be possible to reconcile death with life and love.</p>]",sports-leisure,9780099575450
29,Alex Ferguson My Autobiography: The autobiography of the legendary Manchester United manager (Paperback),[],sports-leisure,9780340919408
30,That Will Be England Gone: The Last Summer of Cricket (Paperback),"[<p>Neville Cardus once said there could be no summer in England without cricket.</p>, <p>The 2019 season was supposed to be the greatest summer of cricket ever seen in England. There was a World Cup, followed by five Test matches against Australia in the latest engagement of sport's oldest rivalry. It was also the last season of county cricket before the introduction in 2020 of a new tournament, The Hundred, designed to attract an audience of younger people who have no interest in the summer game.</p>, <p>In <i>That Will Be England Gone</i>, Michael Henderson revisits much-loved places to see how the game he grew up with has changed since the day in 1965 that he saw the great fast bowler Fred Trueman in his pomp. He watches schoolboys at Repton, club cricketers at Ramsbottom, and professionals on the festival grounds of Chesterfield, Cheltenham and Scarborough. The rolling English road takes him to Leicester for T20, to Lord's for the most ceremonial Test match, and to Taunton to watch an old cricketer leave the crease for the last time. He is enchanted at Trent Bridge, surprised at the Oval, and troubled at Old Trafford.</p>, <p>'Cricket,' Henderson says, 'has always been part of my other life.' There are memories of friendships with Ken Dodd, Harold Pinter and Simon Rattle, and the book is coloured throughout by a love of landscape, poetry, paintings and music. As well as reflections on his childhood hero, Farokh Engineer, and other great players, there are digressions on subjects as various as Lancashire comedians, Viennese melancholy and the films of Michael Powell.</p>, <p>Lyrical and elegiac, <i>That Will Be England Gone</i> is a deeply personal tribute to cricket, summer and England.</p>]",sports-leisure,9781472132871
31,How to Be a Footballer (Paperback),"[<p><strong>Shortlisted for <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards""><i>The Telegraph </i>Sports Book Awards 2019</a></strong></p>, <p>You become a footballer because you love football. And then you are a footballer, and you're suddenly in the strangest, most baffling world of all.</p>, <p>A world where one team-mate comes to training in a bright red suit with matching top-hat, cane and glasses, without any actual glass in them, and another has so many sports cars they forget they have left a Porsche at the train station. Even when their surname is incorporated in the registration plate.</p>, <p>So walk with me into the dressing-room, to find out which players refuse to touch a football before a game, to discover why a load of millionaires never have any shower-gel, and to hear what Cristiano Ronaldo says when he looks at himself in the mirror.</p>, <p>We will go into post-match interviews, make fools of ourselves on social media and try to ensure that we never again pay £250 for a haircut that should have cost a tenner.</p>, <p>We'll be coached and cajoled by Harry Redknapp, upset Rafa Benitez and be soothed by the sound of an accordion played by Sven-Goran Eriksson's assistant Tord Grip. There will be some very bad music and some very bad decisions. I am Peter Crouch. This is<em> How To Be A Footballer</em>. Shall we?</p>]",sports-leisure,9781785039782
